id,category,config,charges,masses,c,eta,side_or_sep,bounce_r,tmax,dt,retcode,n_steps,t_final,E_drift_pct,bound,max_r,min_r,brake_idx,brake_period,notes
25,2+1-,collin_+-+_d1.0_k0.0,[+1-1+1],[1 1 1],1.0000,0.0000,1.0000,0.0000,50.0,1.0e-03,Failure,1276,1.2750,0.407967,false,2.000000,0.057066,0,NaN,
26,2+1-,collin_+-+_d1.0_k0.1,[+1-1+1],[1 1 1],1.0000,0.0000,1.0000,0.0000,50.0,1.0e-03,Failure,1656,1.6550,69.398728,false,2.000000,0.539691,0,NaN,
27,2+1-,collin_+-+_d1.0_k0.3,[+1-1+1],[1 1 1],1.0000,0.0000,1.0000,0.0000,50.0,1.0e-03,Failure,1782,1.7810,67.960548,false,2.000000,0.657951,0,NaN,
28,2+1-,collin_+-+_d2.0_k0.0,[+1-1+1],[1 1 1],1.0000,0.0000,2.0000,0.0000,50.0,1.0e-03,Failure,3621,3.6200,0.815454,false,4.000000,0.057648,0,NaN,
29,2+1-,collin_+-+_d2.0_k0.1,[+1-1+1],[1 1 1],1.0000,0.0000,2.0000,0.0000,50.0,1.0e-03,Failure,4050,4.0490,921.569145,false,4.000000,0.533742,0,NaN,
30,2+1-,collin_+-+_d2.0_k0.3,[+1-1+1],[1 1 1],1.0000,0.0000,2.0000,0.0000,50.0,1.0e-03,Failure,4831,4.8300,111.436258,false,4.000000,0.641882,0,NaN,
31,2+1-,collin_+-+_d3.0_k0.0,[+1-1+1],[1 1 1],1.0000,0.0000,3.0000,0.0000,50.0,1.0e-03,Failure,6658,6.6570,1.356675,false,6.000000,0.056367,0,NaN,
32,2+1-,collin_+-+_d3.0_k0.1,[+1-1+1],[1 1 1],1.0000,0.0000,3.0000,0.0000,50.0,1.0e-03,Failure,7237,7.2360,540.982612,false,6.000000,0.658748,0,NaN,
33,2+1-,collin_+-+_d3.0_k0.3,[+1-1+1],[1 1 1],1.0000,0.0000,3.0000,0.0000,50.0,1.0e-03,Failure,9566,9.5650,151.443530,false,6.000000,1.078825,0,NaN,
34,2+1-,planet_R0.5_eta0.3,[+1+1-1],[1 1 1],1.0000,0.3000,0.5000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.194513,false,0.500632,0.020891,0,NaN,
35,2+1-,planet_R0.5_eta0.3,[+1+1-1],[1 1 1],4.0000,0.3000,0.5000,0.0200,100.0,1.0e-04,Failure,2523,0.2522,375.080466,false,0.500647,0.017529,0,NaN,
36,2+1-,planet_R1.0_eta0.3,[+1+1-1],[1 1 1],1.0000,0.3000,1.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.174990,false,1.000313,0.020858,0,NaN,
37,2+1-,planet_R1.0_eta0.3,[+1+1-1],[1 1 1],4.0000,0.3000,1.0000,0.0200,100.0,1.0e-04,Failure,87118,8.7117,34.514541,false,14.784236,0.016732,0,NaN,
